       top    epi_mid   epi_apex    endo_lv    endo_rv 
2.822612E1 1.760015E2 3.25307E-1 8.102527E1 8.863001E1 

1.00000000 1.29768635 0.00000000 1.28119186 1.33571513 
1.00000000 6.57282E-1 0.00000000 6.48104E-1 6.78891E-1 
1.00000000 9.77484E-1 0.00000000 9.64648E-1 1.00730350 
1.00000000 8.17383E-1 0.00000000 8.06376E-1 8.43097E-1 
1.00000000 8.97434E-1 0.00000000 8.85512E-1 9.25200E-1 
1.00000000 8.57408E-1 0.00000000 8.45944E-1 8.84149E-1 
1.00000000 8.77421E-1 0.00000000 8.65728E-1 9.04674E-1 
1.00000000 8.67415E-1 0.00000000 8.55836E-1 8.94412E-1 
1.00000000 8.72418E-1 0.00000000 8.60782E-1 8.99543E-1 
1.00000000 8.69916E-1 0.00000000 8.58309E-1 8.96977E-1 
1.00000000 8.71167E-1 0.00000000 8.59545E-1 8.98260E-1 
1.00000000 8.70542E-1 0.00000000 8.58927E-1 8.97619E-1 
1.00000000 8.70854E-1 0.00000000 8.59236E-1 8.97939E-1 
1.00000000 8.70698E-1 0.00000000 8.59082E-1 8.97779E-1 
1.00000000 8.70776E-1 0.00000000 8.59159E-1 8.97859E-1 
1.00000000 8.70737E-1 0.00000000 8.59120E-1 8.97819E-1 
1.00000000 8.70757E-1 0.00000000 8.59140E-1 8.97839E-1 
1.00000000 8.70747E-1 0.00000000 8.59130E-1 8.97829E-1 
1.00000000 8.70752E-1 0.00000000 8.59135E-1 8.97834E-1 
1.00000000 8.70749E-1 0.00000000 8.59132E-1 8.97832E-1 
