       top    epi_mid   epi_apex    endo_lv    endo_rv 
2.822612E1 1.760015E2 3.25307E-1 8.102527E1 8.863001E1 

5.36997E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.21379E-1 1.00000000 1.00000000 0.00000000 0.00000000 
4.29188E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.75283E-1 1.00000000 1.00000000 0.00000000 0.00000000 
4.02236E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.88759E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.95497E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.92128E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93813E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.92971E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93392E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93181E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93287E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93234E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93260E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93247E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93254E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93250E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93252E-1 1.00000000 1.00000000 0.00000000 0.00000000 
3.93251E-1 1.00000000 1.00000000 0.00000000 0.00000000 
