       top    epi_mid   epi_apex    endo_lv    endo_rv 
2.822612E1 1.760015E2 3.25307E-1 8.102527E1 8.863001E1 

3.31332E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.02551E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.66941E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.34746E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.50844E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.42795E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.46819E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.44807E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45813E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45310E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45562E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45436E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45499E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45467E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45483E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45475E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45479E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45477E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45478E-1 0.00000000 0.00000000 0.00000000 1.00000000 
2.45478E-1 0.00000000 0.00000000 0.00000000 1.00000000 
